id,不知道,不知道
101,521|20,521|4
102,521|30,521|8
103,521|40,521|12
104,521|50,521|16
105,521|60,521|20
201,522|20,522|4
202,522|30,522|8
203,522|40,522|12
204,522|50,522|16
205,522|60,522|20
301,523|20,523|4
302,523|30,523|8
303,523|40,523|12
304,523|50,523|16
305,523|60,523|20
401,524|20,524|4
402,524|30,524|8
403,524|40,524|12
404,524|50,524|16
405,524|60,524|20
5201,524|40,524|6
5202,524|52,524|12
5203,524|64,524|18
5204,524|76,524|24
5205,524|90,524|30
5301,522|40,522|6
5302,522|52,522|12
5303,522|64,522|18
5304,522|76,522|24
5305,522|90,522|30
5401,521|40,521|6
5402,521|52,521|12
5403,521|64,521|18
5404,521|76,521|24
5405,521|90,521|30
5501,523|40,523|6
5502,523|52,523|12
5503,523|64,523|18
5504,523|76,523|24
5505,523|90,523|30
5601,524|40,524|6
5602,524|52,524|12
5603,524|64,524|18
5604,524|76,524|24
5605,524|90,524|30
5701,522|40,522|6
5702,522|52,522|12
5703,522|64,522|18
5704,522|76,522|24
5705,522|90,522|30
5801,523|40,523|6
5802,523|52,523|12
5803,523|64,523|18
5804,523|76,523|24
5805,523|90,523|30
5901,521|40,521|6
5902,521|52,521|12
5903,521|64,521|18
5904,521|76,521|24
5905,521|90,521|30
6001,523|40,523|6
6002,523|52,523|12
6003,523|64,523|18
6004,523|76,523|24
6005,523|90,523|30
6101,524|40,524|6
6102,524|52,524|12
6103,524|64,524|18
6104,524|76,524|24
6105,524|90,524|30
6201,524|40,524|6
6202,524|52,524|12
6203,524|64,524|18
6204,524|76,524|24
6205,524|90,524|30
6301,521|40,521|6
6302,521|52,521|12
6303,521|64,521|18
6304,521|76,521|24
6305,521|90,521|30
6401,521|40,521|6
6402,521|52,521|12
6403,521|64,521|18
6404,521|76,521|24
6405,521|90,521|30
6501,522|40,522|6
6502,522|52,522|12
6503,522|64,522|18
6504,522|76,522|24
6505,522|90,522|30
6601,523|40,523|6
6602,523|52,523|12
6603,523|64,523|18
6604,523|76,523|24
6605,523|90,523|30
6701,524|40,524|6
6702,524|52,524|12
6703,524|64,524|18
6704,524|76,524|24
6705,524|90,524|30
6801,524|40,524|6
6802,524|52,524|12
6803,524|64,524|18
6804,524|76,524|24
6805,524|90,524|30
6901,523|40,523|6
6902,523|52,523|12
6903,523|64,523|18
6904,523|76,523|24
6905,523|90,523|30
7001,521|40,521|6
7002,521|52,521|12
7003,521|64,521|18
7004,521|76,521|24
7005,521|90,521|30
7101,522|40,522|6
7102,522|52,522|12
7103,522|64,522|18
7104,522|76,522|24
7105,522|90,522|30
7201,521|35,521|5
7202,521|45,521|10
7203,521|55,521|15
7204,521|65,521|20
7205,521|80,521|25
7301,524|35,524|5
7302,524|45,524|10
7303,524|55,524|15
7304,524|65,524|20
7305,524|80,524|25
7401,523|35,523|5
7402,523|45,523|10
7403,523|55,523|15
7404,523|65,523|20
7405,523|80,523|25
7501,522|35,522|5
7502,522|45,522|10
7503,522|55,522|15
7504,522|65,522|20
7505,522|80,522|25
7601,523|35,523|5
7602,523|45,523|10
7603,523|55,523|15
7604,523|65,523|20
7605,523|80,523|25
7701,522|35,522|5
7702,522|45,522|10
7703,522|55,522|15
7704,522|65,522|20
7705,522|80,522|25
7801,522|35,522|5
7802,522|45,522|10
7803,522|55,522|15
7804,522|65,522|20
7805,522|80,522|25
7901,524|35,524|5
7902,524|45,524|10
7903,524|55,524|15
7904,524|65,524|20
7905,524|80,524|25
8001,522|35,522|5
8002,522|45,522|10
8003,522|55,522|15
8004,522|65,522|20
8005,522|80,522|25
8101,524|35,524|5
8102,524|45,524|10
8103,524|55,524|15
8104,524|65,524|20
8105,524|80,524|25
8201,521|35,521|5
8202,521|45,521|10
8203,521|55,521|15
8204,521|65,521|20
8205,521|80,521|25
8301,523|40,523|5
8302,523|52,523|10
8303,523|64,523|15
8304,523|76,523|20
8305,523|90,523|25
8401,521|35,521|5
8402,521|45,521|10
8403,521|55,521|15
8404,521|65,521|20
8405,521|80,521|25
8501,523|35,523|5
8502,523|45,523|10
8503,523|55,523|15
8504,523|65,523|20
8505,523|80,523|25
8601,523|35,523|5
8602,523|45,523|10
8603,523|55,523|15
8604,523|65,523|20
8605,523|80,523|25
8701,524|30,524|5
8702,524|40,524|10
8703,524|50,524|15
8704,524|60,524|20
8705,524|70,524|25
8801,524|30,524|5
8802,524|40,524|10
8803,524|50,524|15
8804,524|60,524|20
8805,524|70,524|25
8901,522|30,522|5
8902,522|40,522|10
8903,522|50,522|15
8904,522|60,522|20
8905,522|70,522|25
9001,521|30,521|5
9002,521|40,521|10
9003,521|50,521|15
9004,521|60,521|20
9005,521|70,521|25
9101,521|30,521|5
9102,521|40,521|10
9103,521|50,521|15
9104,521|60,521|20
9105,521|70,521|25
9201,521|30,521|5
9202,521|40,521|10
9203,521|50,521|15
9204,521|60,521|20
9205,521|70,521|25
9301,521|30,521|5
9302,521|40,521|10
9303,521|50,521|15
9304,521|60,521|20
9305,521|70,521|25
9401,522|30,522|5
9402,522|40,522|10
9403,522|50,522|15
9404,522|60,522|20
9405,522|70,522|25
9501,521|30,521|5
9502,521|40,521|10
9503,521|50,521|15
9504,521|60,521|20
9505,521|70,521|25
9601,523|30,523|5
9602,523|40,523|10
9603,523|50,523|15
9604,523|60,523|20
9605,523|70,523|25
9701,521|30,521|5
9702,521|40,521|10
9703,521|50,521|15
9704,521|60,521|20
9705,521|70,521|25
9801,523|30,523|5
9802,523|40,523|10
9803,523|50,523|15
9804,523|60,523|20
9805,523|70,523|25
9901,522|30,522|5
9902,522|40,522|10
9903,522|50,522|15
9904,522|60,522|20
9905,522|70,522|25
10001,523|30,523|5
10002,523|40,523|10
10003,523|50,523|15
10004,523|60,523|20
10005,523|70,523|25
10101,522|30,522|5
10102,522|40,522|10
10103,522|50,522|15
10104,522|60,522|20
10105,522|70,522|25
10201,524|20,524|4
10202,524|30,524|8
10203,524|40,524|12
10204,524|50,524|16
10205,524|60,524|20
10301,523|20,523|4
10302,523|30,523|8
10303,523|40,523|12
10304,523|50,523|16
10305,523|60,523|20
10401,524|20,524|4
10402,524|30,524|8
10403,524|40,524|12
10404,524|50,524|16
10405,524|60,524|20
10501,522|30,522|5
10502,522|40,522|10
10503,522|50,522|15
10504,522|60,522|20
10505,522|70,522|25
10601,522|30,522|5
10602,522|40,522|10
10603,522|50,522|15
10604,522|60,522|20
10605,522|70,522|25
10701,523|30,523|5
10702,523|40,523|10
10703,523|50,523|15
10704,523|60,523|20
10705,523|70,523|25
10801,522|35,522|5
10802,522|45,522|10
10803,522|55,522|15
10804,522|65,522|20
10805,522|80,522|25
10901,524|35,524|5
10902,524|45,524|10
10903,524|55,524|15
10904,524|65,524|20
10905,524|80,524|25
11001,524|40,524|6
11002,524|52,524|12
11003,524|64,524|18
11004,524|76,524|24
11005,524|90,524|30
11101,523|40,523|6
11102,523|52,523|12
11103,523|64,523|18
11104,523|76,523|24
11105,523|90,523|30
11201,524|40,524|6
11202,524|52,524|12
11203,524|64,524|18
11204,524|76,524|24
11205,524|90,524|30
11301,523|40,523|6
11302,523|52,523|12
11303,523|64,523|18
11304,523|76,523|24
11305,523|90,523|30
11401,522|35,522|5
11402,522|45,522|10
11403,522|55,522|15
11404,522|65,522|20
11405,522|80,522|25
11501,523|30,523|5
11502,523|40,523|10
11503,523|50,523|15
11504,523|60,523|20
11505,523|70,523|25
11601,523|30,523|5
11602,523|40,523|10
11603,523|50,523|15
11604,523|60,523|20
11605,523|70,523|25
11701,524|35,524|5
11702,524|45,524|10
11703,524|55,524|15
11704,524|65,524|20
11705,524|80,524|25
11801,522|30,522|5
11802,522|40,522|10
11803,522|50,522|15
11804,522|60,522|20
11805,522|70,522|25
11901,523|35,523|5
11902,523|45,523|10
11903,523|55,523|15
11904,523|65,523|20
11905,523|80,523|25
12001,521|35,521|5
12002,521|45,521|10
12003,521|55,521|15
12004,521|65,521|20
12005,521|80,521|25
